week,count,mean,std
0,76,0.47089386842105263,0.28882250962417927
1,54,0.5523432592592593,0.2539818318272173
2,52,0.6633649230769231,0.1592593584068164
3,52,0.6179933461538462,0.17756292981405875
4,50,0.5782231999999999,0.2256468189383125
5,48,0.6039724166666667,0.1675430870392187
6,44,0.5761910909090909,0.2209652783857332
7,46,0.6092952173913043,0.22043481082139182
