image,mode,dice,source
B006_Week0_LFOV,binary,0.737666,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\Predict_Result\metrics.csv
B006_Week0_LFOV.nii.gz,binary,0.737666,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\Predict_Result\B006_Week0_LFOV_meta.json
