image,mode,dice,source
C032_Week5_LFOV,binary,0.606475,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\C032_Week5.nii\metrics.csv
C032_Week5_LFOV.nii.gz,binary,0.606475,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\C032_Week5.nii\C032_Week5_LFOV_meta.json
C032_Week6_LFOV,binary,0.582911,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\C032_Week6.nii\metrics.csv
C032_Week6_LFOV.nii.gz,binary,0.582911,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\C032_Week6.nii\C032_Week6_LFOV_meta.json
C032_Week7_LFOV,binary,0.381874,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\C032_Week7.nii\metrics.csv
C032_Week7_LFOV.nii.gz,binary,0.381874,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\C032_Week7.nii\C032_Week7_LFOV_meta.json
D031_Week0_LFOV,binary,0.765037,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week0.nii\metrics.csv
D031_Week0_LFOV.nii.gz,binary,0.765037,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week0.nii\D031_Week0_LFOV_meta.json
D031_Week1_LFOV,binary,0.158116,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week1.nii\metrics.csv
D031_Week1_LFOV.nii.gz,binary,0.158116,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week1.nii\D031_Week1_LFOV_meta.json
D031_Week2_LFOV,binary,0.695479,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week2.nii\metrics.csv
D031_Week2_LFOV.nii.gz,binary,0.695479,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week2.nii\D031_Week2_LFOV_meta.json
D031_Week3_LFOV,binary,0.697746,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week3.nii\metrics.csv
D031_Week3_LFOV.nii.gz,binary,0.697746,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week3.nii\D031_Week3_LFOV_meta.json
D031_Week4_LFOV,binary,0.723204,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week4.nii\metrics.csv
D031_Week4_LFOV.nii.gz,binary,0.723204,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week4.nii\D031_Week4_LFOV_meta.json
D031_Week5_LFOV,binary,0.593220,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week5.nii\metrics.csv
D031_Week5_LFOV.nii.gz,binary,0.593220,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week5.nii\D031_Week5_LFOV_meta.json
D031_Week6_LFOV,binary,0.361311,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week6.nii\metrics.csv
D031_Week6_LFOV.nii.gz,binary,0.361311,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week6.nii\D031_Week6_LFOV_meta.json
D031_Week7_LFOV,binary,0.790795,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week7.nii\metrics.csv
D031_Week7_LFOV.nii.gz,binary,0.790795,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\D031_Week7.nii\D031_Week7_LFOV_meta.json
G021_Week0_LFOV,binary,0.467492,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week0.nii\metrics.csv
G021_Week0_LFOV.nii.gz,binary,0.467492,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week0.nii\G021_Week0_LFOV_meta.json
G021_Week1_LFOV,binary,0.505812,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week1.nii\metrics.csv
G021_Week1_LFOV.nii.gz,binary,0.505812,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week1.nii\G021_Week1_LFOV_meta.json
G021_Week2_LFOV,binary,0.753154,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week2.nii\metrics.csv
G021_Week2_LFOV.nii.gz,binary,0.753154,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week2.nii\G021_Week2_LFOV_meta.json
G021_Week3_LFOV,binary,0.588130,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week3.nii\metrics.csv
G021_Week3_LFOV.nii.gz,binary,0.588130,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week3.nii\G021_Week3_LFOV_meta.json
G021_Week4_LFOV,binary,0.413950,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week4.nii\metrics.csv
G021_Week4_LFOV.nii.gz,binary,0.413950,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week4.nii\G021_Week4_LFOV_meta.json
