image,mode,dice,source
K019_Week5_LFOV,binary,0.768013,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week5.nii\metrics.csv
K019_Week5_LFOV.nii.gz,binary,0.768013,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week5.nii\K019_Week5_LFOV_meta.json
K019_Week6_LFOV,binary,0.822412,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week6.nii\metrics.csv
K019_Week6_LFOV.nii.gz,binary,0.822412,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week6.nii\K019_Week6_LFOV_meta.json
K019_Week7_LFOV,binary,0.712124,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week7.nii\metrics.csv
K019_Week7_LFOV.nii.gz,binary,0.712124,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week7.nii\K019_Week7_LFOV_meta.json
K042_Week0_LFOV,binary,0.705029,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K042_Week0.nii\metrics.csv
K042_Week0_LFOV.nii.gz,binary,0.705029,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K042_Week0.nii\K042_Week0_LFOV_meta.json
L011_Week0_LFOV,binary,0.727377,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week0.nii\metrics.csv
L011_Week0_LFOV.nii.gz,binary,0.727377,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week0.nii\L011_Week0_LFOV_meta.json
L011_Week1_LFOV,binary,0.852825,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week1.nii\metrics.csv
L011_Week1_LFOV.nii.gz,binary,0.852825,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week1.nii\L011_Week1_LFOV_meta.json
L011_Week2_LFOV,binary,0.802228,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week2.nii\metrics.csv
L011_Week2_LFOV.nii.gz,binary,0.802228,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week2.nii\L011_Week2_LFOV_meta.json
L011_Week3_LFOV,binary,0.775291,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week3.nii\metrics.csv
L011_Week3_LFOV.nii.gz,binary,0.775291,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week3.nii\L011_Week3_LFOV_meta.json
L011_Week4_LFOV,binary,0.805423,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week4.nii\metrics.csv
L011_Week4_LFOV.nii.gz,binary,0.805423,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week4.nii\L011_Week4_LFOV_meta.json
L011_Week5_LFOV,binary,0.843352,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week5.nii\metrics.csv
L011_Week5_LFOV.nii.gz,binary,0.843352,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week5.nii\L011_Week5_LFOV_meta.json
L011_Week6_LFOV,binary,0.801164,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week6.nii\metrics.csv
L011_Week6_LFOV.nii.gz,binary,0.801164,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week6.nii\L011_Week6_LFOV_meta.json
L011_Week7_LFOV,binary,0.843912,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week7.nii\metrics.csv
L011_Week7_LFOV.nii.gz,binary,0.843912,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\L011_Week7.nii\L011_Week7_LFOV_meta.json
M004_Week0_LFOV,binary,0.812015,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week0.nii\metrics.csv
M004_Week0_LFOV.nii.gz,binary,0.812015,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week0.nii\M004_Week0_LFOV_meta.json
M004_Week1_LFOV,binary,0.690827,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week1.nii\metrics.csv
M004_Week1_LFOV.nii.gz,binary,0.690827,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week1.nii\M004_Week1_LFOV_meta.json
M004_Week2_LFOV,binary,0.424425,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week2.nii\metrics.csv
M004_Week2_LFOV.nii.gz,binary,0.424425,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week2.nii\M004_Week2_LFOV_meta.json
M004_Week3_LFOV,binary,0.799215,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week3.nii\metrics.csv
M004_Week3_LFOV.nii.gz,binary,0.799215,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week3.nii\M004_Week3_LFOV_meta.json
M004_Week4_LFOV,binary,0.504818,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week4.nii\metrics.csv
M004_Week4_LFOV.nii.gz,binary,0.504818,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week4.nii\M004_Week4_LFOV_meta.json
M004_Week5_LFOV,binary,0.543242,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week5.nii\metrics.csv
M004_Week5_LFOV.nii.gz,binary,0.543242,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week5.nii\M004_Week5_LFOV_meta.json
M004_Week6_LFOV,binary,0.277365,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week6.nii\metrics.csv
M004_Week6_LFOV.nii.gz,binary,0.277365,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week6.nii\M004_Week6_LFOV_meta.json
M004_Week7_LFOV,binary,0.754840,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week7.nii\metrics.csv
M004_Week7_LFOV.nii.gz,binary,0.754840,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M004_Week7.nii\M004_Week7_LFOV_meta.json
M013_Week0_LFOV,binary,0.780739,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week0.nii\metrics.csv
M013_Week0_LFOV.nii.gz,binary,0.780739,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week0.nii\M013_Week0_LFOV_meta.json
M013_Week1_LFOV,binary,0.753534,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week1.nii\metrics.csv
M013_Week1_LFOV.nii.gz,binary,0.753534,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week1.nii\M013_Week1_LFOV_meta.json
M013_Week2_LFOV,binary,0.770826,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week2.nii\metrics.csv
M013_Week2_LFOV.nii.gz,binary,0.770826,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week2.nii\M013_Week2_LFOV_meta.json
M013_Week3_LFOV,binary,0.831384,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week3.nii\metrics.csv
M013_Week3_LFOV.nii.gz,binary,0.831384,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week3.nii\M013_Week3_LFOV_meta.json
M013_Week4_LFOV,binary,0.734852,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week4.nii\metrics.csv
M013_Week4_LFOV.nii.gz,binary,0.734852,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week4.nii\M013_Week4_LFOV_meta.json
M013_Week5_LFOV,binary,0.746039,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week5.nii\metrics.csv
M013_Week5_LFOV.nii.gz,binary,0.746039,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week5.nii\M013_Week5_LFOV_meta.json
M013_Week6_LFOV,binary,0.581968,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week6.nii\metrics.csv
M013_Week6_LFOV.nii.gz,binary,0.581968,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week6.nii\M013_Week6_LFOV_meta.json
M013_Week7_LFOV,binary,0.785076,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week7.nii\metrics.csv
M013_Week7_LFOV.nii.gz,binary,0.785076,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M013_Week7.nii\M013_Week7_LFOV_meta.json
M015_Week0_LFOV,binary,0.428616,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week0.nii\metrics.csv
M015_Week0_LFOV.nii.gz,binary,0.428616,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week0.nii\M015_Week0_LFOV_meta.json
M015_Week1_LFOV,binary,0.419308,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week1.nii\metrics.csv
M015_Week1_LFOV.nii.gz,binary,0.419308,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week1.nii\M015_Week1_LFOV_meta.json
M015_Week2_LFOV,binary,0.567714,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week2.nii\metrics.csv
M015_Week2_LFOV.nii.gz,binary,0.567714,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week2.nii\M015_Week2_LFOV_meta.json
M015_Week3_LFOV,binary,0.625990,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week3.nii\metrics.csv
M015_Week3_LFOV.nii.gz,binary,0.625990,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week3.nii\M015_Week3_LFOV_meta.json
M015_Week4_LFOV,binary,0.556847,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week4.nii\metrics.csv
M015_Week4_LFOV.nii.gz,binary,0.556847,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week4.nii\M015_Week4_LFOV_meta.json
M015_Week5_LFOV,binary,0.378271,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week5.nii\metrics.csv
M015_Week5_LFOV.nii.gz,binary,0.378271,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week5.nii\M015_Week5_LFOV_meta.json
M015_Week6_LFOV,binary,0.525580,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week6.nii\metrics.csv
M015_Week6_LFOV.nii.gz,binary,0.525580,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week6.nii\M015_Week6_LFOV_meta.json
M015_Week7_LFOV,binary,0.425639,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week7.nii\metrics.csv
M015_Week7_LFOV.nii.gz,binary,0.425639,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M015_Week7.nii\M015_Week7_LFOV_meta.json
M020_Week0_LFOV,binary,0.658654,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M020_Week0.nii\metrics.csv
M020_Week0_LFOV.nii.gz,binary,0.658654,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M020_Week0.nii\M020_Week0_LFOV_meta.json
M020_Week1_LFOV,binary,0.786880,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M020_Week1.nii\metrics.csv
M020_Week1_LFOV.nii.gz,binary,0.786880,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M020_Week1.nii\M020_Week1_LFOV_meta.json
M020_Week2_LFOV,binary,0.857926,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M020_Week2.nii\metrics.csv
M020_Week2_LFOV.nii.gz,binary,0.857926,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M020_Week2.nii\M020_Week2_LFOV_meta.json
M020_Week3_LFOV,binary,0.737750,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M020_Week3.nii\metrics.csv
M020_Week3_LFOV.nii.gz,binary,0.737750,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M020_Week3.nii\M020_Week3_LFOV_meta.json
M023_Week0_LFOV,binary,0.665054,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M023_Week0.nii\metrics.csv
M023_Week0_LFOV.nii.gz,binary,0.665054,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M023_Week0.nii\M023_Week0_LFOV_meta.json
M030_Week0_LFOV,binary,0.212377,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M030_Week0.nii\metrics.csv
M030_Week0_LFOV.nii.gz,binary,0.212377,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M030_Week0.nii\M030_Week0_LFOV_meta.json
M030_Week1_LFOV,binary,0.337611,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M030_Week1.nii\metrics.csv
M030_Week1_LFOV.nii.gz,binary,0.337611,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M030_Week1.nii\M030_Week1_LFOV_meta.json
M030_Week2_LFOV,binary,0.439074,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M030_Week2.nii\metrics.csv
M030_Week2_LFOV.nii.gz,binary,0.439074,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M030_Week2.nii\M030_Week2_LFOV_meta.json
M030_Week3_LFOV,binary,0.335975,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M030_Week3.nii\metrics.csv
M030_Week3_LFOV.nii.gz,binary,0.335975,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M030_Week3.nii\M030_Week3_LFOV_meta.json
M030_Week4_LFOV,binary,0.369350,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M030_Week4.nii\metrics.csv
M030_Week4_LFOV.nii.gz,binary,0.369350,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M030_Week4.nii\M030_Week4_LFOV_meta.json
M030_Week5_LFOV,binary,0.336511,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M030_Week5.nii\metrics.csv
M030_Week5_LFOV.nii.gz,binary,0.336511,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M030_Week5.nii\M030_Week5_LFOV_meta.json
M036_Week0_LFOV,binary,0.495847,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M036_Week0.nii\metrics.csv
M036_Week0_LFOV.nii.gz,binary,0.495847,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\M036_Week0.nii\M036_Week0_LFOV_meta.json
N010_Week0_LFOV,binary,0.000000,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week0.nii\metrics.csv
N010_Week0_LFOV.nii.gz,binary,0.000000,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week0.nii\N010_Week0_LFOV_meta.json
N010_Week1_LFOV,binary,0.229510,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week1.nii\metrics.csv
N010_Week1_LFOV.nii.gz,binary,0.229510,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week1.nii\N010_Week1_LFOV_meta.json
N010_Week2_LFOV,binary,0.526531,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week2.nii\metrics.csv
N010_Week2_LFOV.nii.gz,binary,0.526531,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week2.nii\N010_Week2_LFOV_meta.json
N010_Week3_LFOV,binary,0.484634,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week3.nii\metrics.csv
N010_Week3_LFOV.nii.gz,binary,0.484634,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week3.nii\N010_Week3_LFOV_meta.json
N010_Week4_LFOV,binary,0.217552,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week4.nii\metrics.csv
N010_Week4_LFOV.nii.gz,binary,0.217552,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week4.nii\N010_Week4_LFOV_meta.json
N010_Week5_LFOV,binary,0.699524,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week5.nii\metrics.csv
N010_Week5_LFOV.nii.gz,binary,0.699524,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week5.nii\N010_Week5_LFOV_meta.json
N010_Week6_LFOV,binary,0.515096,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week6.nii\metrics.csv
N010_Week6_LFOV.nii.gz,binary,0.515096,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week6.nii\N010_Week6_LFOV_meta.json
N010_Week7_LFOV,binary,0.704183,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week7.nii\metrics.csv
N010_Week7_LFOV.nii.gz,binary,0.704183,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\N010_Week7.nii\N010_Week7_LFOV_meta.json
O025_Week0_LFOV,binary,0.258092,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week0.nii\metrics.csv
O025_Week0_LFOV.nii.gz,binary,0.258092,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week0.nii\O025_Week0_LFOV_meta.json
O025_Week1_LFOV,binary,0.657586,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week1.nii\metrics.csv
O025_Week1_LFOV.nii.gz,binary,0.657586,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week1.nii\O025_Week1_LFOV_meta.json
O025_Week2_LFOV,binary,0.601232,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week2.nii\metrics.csv
O025_Week2_LFOV.nii.gz,binary,0.601232,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week2.nii\O025_Week2_LFOV_meta.json
O025_Week3_LFOV,binary,0.778128,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week3.nii\metrics.csv
O025_Week3_LFOV.nii.gz,binary,0.778128,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week3.nii\O025_Week3_LFOV_meta.json
O025_Week4_LFOV,binary,0.272660,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week4.nii\metrics.csv
O025_Week4_LFOV.nii.gz,binary,0.272660,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week4.nii\O025_Week4_LFOV_meta.json
O025_Week5_LFOV,binary,0.601863,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week5.nii\metrics.csv
O025_Week5_LFOV.nii.gz,binary,0.601863,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week5.nii\O025_Week5_LFOV_meta.json
O025_Week6_LFOV,binary,0.800271,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week6.nii\metrics.csv
O025_Week6_LFOV.nii.gz,binary,0.800271,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week6.nii\O025_Week6_LFOV_meta.json
O025_Week7_LFOV,binary,0.717878,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week7.nii\metrics.csv
O025_Week7_LFOV.nii.gz,binary,0.717878,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\O025_Week7.nii\O025_Week7_LFOV_meta.json
R016_Week0_LFOV,binary,0.562013,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week0.nii\metrics.csv
R016_Week0_LFOV.nii.gz,binary,0.562013,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week0.nii\R016_Week0_LFOV_meta.json
R016_Week1_LFOV,binary,0.460399,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week1.nii\metrics.csv
R016_Week1_LFOV.nii.gz,binary,0.460399,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week1.nii\R016_Week1_LFOV_meta.json
R016_Week2_LFOV,binary,0.766571,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week2.nii\metrics.csv
R016_Week2_LFOV.nii.gz,binary,0.766571,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week2.nii\R016_Week2_LFOV_meta.json
R016_Week3_LFOV,binary,0.514598,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week3.nii\metrics.csv
R016_Week3_LFOV.nii.gz,binary,0.514598,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week3.nii\R016_Week3_LFOV_meta.json
R016_Week4_LFOV,binary,0.613617,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week4.nii\metrics.csv
R016_Week4_LFOV.nii.gz,binary,0.613617,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week4.nii\R016_Week4_LFOV_meta.json
R016_Week5_LFOV,binary,0.481193,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week5.nii\metrics.csv
R016_Week5_LFOV.nii.gz,binary,0.481193,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week5.nii\R016_Week5_LFOV_meta.json
R016_Week6_LFOV,binary,0.406377,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week6.nii\metrics.csv
R016_Week6_LFOV.nii.gz,binary,0.406377,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\R016_Week6.nii\R016_Week6_LFOV_meta.json
