epoch,train_loss,train_dice,val_dice,val_dice_c0,val_dice_c1
1,0.5384635351206127,0.46153709480637,0.499273236308779,0.9985424280166626,4.0996737880050205e-06
2,0.494291877746582,0.5057099152552454,0.5137567108585721,0.9985572099685669,0.028956202790141106
3,0.3361582141173513,0.6638426946966272,0.600048881201517,0.9986523389816284,0.2014453262090683
4,0.25932315054692723,0.7406777121518787,0.7540867711816516,0.9986598491668701,0.5095136761665344
5,0.22129842199777303,0.7787027173920682,0.7197246352831522,0.9986450672149658,0.440804123878479
6,0.18094485370736374,0.8190566004891144,0.7014043487253643,0.9988850951194763,0.40392348170280457
7,0.1563045831103074,0.843696999236157,0.796166310707728,0.9984055757522583,0.5939269065856934
8,0.14050962611248619,0.859491986663718,0.7866715760458083,0.9990889430046082,0.5742543339729309
9,0.1394519843553242,0.8605490094737003,0.8586664795875549,0.9991529583930969,0.7181799411773682
10,0.14433348994506032,0.8556674169866663,0.8359088216509137,0.9988762736320496,0.6729414463043213
